relName,className,SLOC,WMC,CBO,RFC,LCOM5,DIT,NOC,delta_WMC,delta_CBO,delta_RFC,delta_LCOM5,delta_DIT,delta_NOC,%WMC,%CBO,%RFC,%LCOM5,%DIT,%NOC,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,churnsloc,%added,%deleted,%changed,%churn, bug
lang3\AnnotationUtils.java,org.apache.commons.lang3.AnnotationUtils,210,54,21,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,0,0,0,0,0,0,0,0,0
lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,2035,603,27,334,0.984459459,1,0,83,3,23,0.001538667,0,0,0.137417219,0.107142857,0.068656716,0.000775358,0,0,1710,2035,325,0,0,325,0.15970516,0,0,0.15970516,0
lang3\BitField.java,org.apache.commons.lang3.BitField,67,23,0,29,0.764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0
lang3\BooleanUtils.java,org.apache.commons.lang3.BooleanUtils,363,128,7,51,,1,0,20,0,4,0,0,0,0.15503876,0,0.076923077,0,0,0,308,363,57,2,1,58,0.157024793,0.005509642,0.002754821,0.159779614,0
lang3\CharEncoding.java,org.apache.commons.lang3.CharEncoding,18,3,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0
lang3\CharRange.java,org.apache.commons.lang3.CharRange,146,25,7,23,0.753846154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0
lang3\CharSequenceUtils.java,org.apache.commons.lang3.CharSequenceUtils,69,21,2,19,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0
lang3\CharSet.java,org.apache.commons.lang3.CharSet,91,21,8,22,1.017857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0
lang3\CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,75,21,4,30,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0
lang3\CharUtils.java,org.apache.commons.lang3.CharUtils,123,38,6,35,1.03030303,1,0,1,1,0,0.003030303,0,0,0.025641026,0.142857143,0,0.001492537,0,0,144,123,1,22,4,5,0.008130081,0.178861789,0.032520325,0.040650407,0
lang3\ClassUtils.java,org.apache.commons.lang3.ClassUtils,472,127,32,118,0.983108108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,472,472,0,0,0,0,0,0,0,0,0
lang3\EnumUtils.java,org.apache.commons.lang3.EnumUtils,66,17,14,25,,1,0,7,5,9,0,0,0,0.388888889,0.333333333,0.346153846,0,0,0,35,66,31,0,0,31,0.46969697,0,0,0.46969697,0
lang3\JavaVersion.java,org.apache.commons.lang3.JavaVersion,50,16,2,23,0.96969697,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0
lang3\LocaleUtils.java,org.apache.commons.lang3.LocaleUtils,126,30,11,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,0,0
lang3\ObjectUtils.java,org.apache.commons.lang3.ObjectUtils,194,58,25,41,1.052631579,1,0,9,9,12,0.009868421,0,0,0.152542373,0.346153846,0.285714286,0.004807692,0,0,149,194,45,0,0,45,0.231958763,0,0,0.231958763,0
lang3\RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,96,26,5,23,0.727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0
lang3\Range.java,org.apache.commons.lang3.Range,181,47,8,32,0.775362319,1,0,5,0,1,0.004940711,0,0,0.104166667,0,0.03030303,0.002782931,0,0,169,181,12,0,0,12,0.066298343,0,0,0.066298343,0
lang3\SerializationException.java,org.apache.commons.lang3.SerializationException,15,4,1,44,1.333333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
lang3\SerializationUtils.java,org.apache.commons.lang3.SerializationUtils,97,21,13,20,,1,0,5,1,2,0,0,0,0.227272727,0.071428571,0.095238095,0,0,0,62,97,35,0,3,38,0.360824742,0,0.030927835,0.391752577,0
lang3\StringEscapeUtils.java,org.apache.commons.lang3.StringEscapeUtils,159,13,11,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0
lang3\StringUtils.java,org.apache.commons.lang3.StringUtils,2090,607,35,185,0.972326454,1,0,3,1,0,0,0,0,0.004934211,0.027777778,0,0,0,0,2094,2090,3,7,15,18,0.001435407,0.003349282,0.007177033,0.00861244,0
lang3\SystemUtils.java,org.apache.commons.lang3.SystemUtils,139,19,7,26,1.066933067,1,0,0,0,0,0.000405,0,0,0,0,0,0.000195943,0,0,136,139,3,0,1,4,0.021582734,0,0.007194245,0.028776978,0
lang3\Validate.java,org.apache.commons.lang3.Validate,237,73,18,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,237,237,0,0,1,1,0,0,0.004219409,0.004219409,0
lang3\builder\CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,412,135,18,46,0.275862069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,412,412,0,0,0,0,0,0,0,0,0
lang3\builder\EqualsBuilder.java,org.apache.commons.lang3.builder.EqualsBuilder,411,116,19,55,0.636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,411,411,0,0,0,0,0,0,0,0,0
lang3\builder\HashCodeBuilder.java,org.apache.commons.lang3.builder.HashCodeBuilder,273,77,19,51,0.598039216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273,273,0,0,0,0,0,0,0,0,0
lang3\builder\IDKey.java,org.apache.commons.lang3.builder.IDKey,23,5,2,12,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0
lang3\builder\ReflectionToStringBuilder.java,org.apache.commons.lang3.builder.ReflectionToStringBuilder,153,42,18,175,0.95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,0,0,0,0,0,0,0,0
lang3\builder\StandardToStringStyle.java,org.apache.commons.lang3.builder.StandardToStringStyle,166,41,2,167,1.025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0,0,0,0,0,0,0,0,0
lang3\builder\ToStringBuilder.java,org.apache.commons.lang3.builder.ToStringBuilder,270,69,9,164,0.592741935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,270,270,0,0,0,0,0,0,0,0,0
lang3\builder\ToStringStyle.java,org.apache.commons.lang3.builder.ToStringStyle,787,209,21,126,0.977644311,1,6,0,0,0,0,0,0,0,0,0,0,0,0,787,787,0,0,0,0,0,0,0,0,0
lang3\concurrent\AtomicInitializer.java,org.apache.commons.lang3.concurrent.AtomicInitializer,14,4,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0
lang3\concurrent\AtomicSafeInitializer.java,org.apache.commons.lang3.concurrent.AtomicSafeInitializer,16,4,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
lang3\concurrent\BackgroundInitializer.java,org.apache.commons.lang3.concurrent.BackgroundInitializer,85,19,12,31,0.888888889,1,2,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0
lang3\concurrent\BasicThreadFactory.java,org.apache.commons.lang3.concurrent.BasicThreadFactory,111,14,10,20,0.854166667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,0,0,0,0,0,0,0,0
lang3\concurrent\CallableBackgroundInitializer.java,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,21,5,5,34,0.333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentException.java,org.apache.commons.lang3.concurrent.ConcurrentException,12,3,2,39,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentRuntimeException.java,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,12,3,2,44,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,109,27,12,28,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,0,0
lang3\concurrent\ConstantInitializer.java,org.apache.commons.lang3.concurrent.ConstantInitializer,33,9,7,15,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0
lang3\concurrent\LazyInitializer.java,org.apache.commons.lang3.concurrent.LazyInitializer,16,4,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
lang3\concurrent\MultiBackgroundInitializer.java,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,104,13,12,37,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0,0,0,0
lang3\concurrent\TimedSemaphore.java,org.apache.commons.lang3.concurrent.TimedSemaphore,111,26,9,27,0.938461538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,0,0,0,0,0,0,0,0
lang3\event\EventListenerSupport.java,org.apache.commons.lang3.event.EventListenerSupport,82,16,17,27,0.865384615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,0
lang3\event\EventUtils.java,org.apache.commons.lang3.event.EventUtils,46,5,10,15,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0
lang3\exception\CloneFailedException.java,org.apache.commons.lang3.exception.CloneFailedException,12,3,1,43,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
lang3\exception\ContextedException.java,org.apache.commons.lang3.exception.ContextedException,57,15,5,48,0.615384615,3,0,1,0,1,0.032051282,0,0,0.0625,0,0.020408163,0.01984127,0,0,54,57,3,0,0,3,0.052631579,0,0,0.052631579,0
lang3\exception\ContextedRuntimeException.java,org.apache.commons.lang3.exception.ContextedRuntimeException,57,15,5,53,0.615384615,4,0,1,0,1,0.032051282,0,0,0.0625,0,0.018518519,0.01984127,0,0,54,57,3,0,0,3,0.052631579,0,0,0.052631579,0
lang3\exception\DefaultExceptionContext.java,org.apache.commons.lang3.exception.DefaultExceptionContext,80,20,13,25,0.583333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0
